country,iso3,metric_id,latest_observation_year,latest_value,source_id,source_indicator_id,years_behind_metric_max
Philippines,PHL,gdp_growth_pct,2025,4.40240158710621,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Malaysia,MYS,gdp_growth_pct,2025,5.17127082911057,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Denmark,DNK,gdp_growth_pct,2025,2.92843280014236,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Colombia,COL,gdp_growth_pct,2025,2.64201548985928,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Bangladesh,BGD,gdp_growth_pct,2025,3.48990671836833,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Romania,ROU,gdp_growth_pct,2025,0.677829835052762,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
"Hong Kong SAR, China",HKG,gdp_growth_pct,2025,3.48764886355949,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
South Africa,ZAF,gdp_growth_pct,2025,1.11462608103956,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Pakistan,PAK,gdp_growth_pct,2025,3.69842668749033,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Czechia,CZE,gdp_growth_pct,2025,2.58046673293437,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
"Egypt, Arab Rep.",EGY,gdp_growth_pct,2025,4.39201068570188,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
"Iran, Islamic Rep.",IRN,gdp_growth_pct,2025,-2.82597163290347,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Chile,CHL,gdp_growth_pct,2025,2.45925474781374,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Portugal,PRT,gdp_growth_pct,2025,1.86448007464475,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Peru,PER,gdp_growth_pct,2025,3.43056395124466,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Finland,FIN,gdp_growth_pct,2025,0.173444509584499,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Kazakhstan,KAZ,gdp_growth_pct,2025,6.5,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Nigeria,NGA,gdp_growth_pct,2025,4.01336180700973,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Algeria,DZA,gdp_growth_pct,2025,3.815543719231,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
United States,USA,population,2025,341784857.0,world_bank_wdi,SP.POP.TOTL,0
China,CHN,population,2025,1406585000.0,world_bank_wdi,SP.POP.TOTL,0
Germany,DEU,population,2025,83491249.0,world_bank_wdi,SP.POP.TOTL,0
Japan,JPN,population,2025,123366734.0,world_bank_wdi,SP.POP.TOTL,0
United Kingdom,GBR,population,2025,69487000.0,world_bank_wdi,SP.POP.TOTL,0
India,IND,population,2025,1463865525.0,world_bank_wdi,SP.POP.TOTL,0
France,FRA,population,2025,68720337.0,world_bank_wdi,SP.POP.TOTL,0
Russian Federation,RUS,population,2025,143513328.0,world_bank_wdi,SP.POP.TOTL,0
Italy,ITA,population,2025,58915656.0,world_bank_wdi,SP.POP.TOTL,0
Canada,CAN,population,2025,41651653.0,world_bank_wdi,SP.POP.TOTL,0
Brazil,BRA,population,2025,212812405.0,world_bank_wdi,SP.POP.TOTL,0
Spain,ESP,population,2025,49355143.0,world_bank_wdi,SP.POP.TOTL,0
"Korea, Rep.",KOR,population,2025,51684564.0,world_bank_wdi,SP.POP.TOTL,0
Mexico,MEX,population,2025,131946900.0,world_bank_wdi,SP.POP.TOTL,0
Australia,AUS,population,2025,27614411.0,world_bank_wdi,SP.POP.TOTL,0
Turkiye,TUR,population,2025,85878556.0,world_bank_wdi,SP.POP.TOTL,0
Indonesia,IDN,population,2025,285721236.0,world_bank_wdi,SP.POP.TOTL,0
Netherlands,NLD,population,2025,18087633.0,world_bank_wdi,SP.POP.TOTL,0
Saudi Arabia,SAU,population,2025,36973555.0,world_bank_wdi,SP.POP.TOTL,0
Switzerland,CHE,population,2025,9092436.0,world_bank_wdi,SP.POP.TOTL,0
Poland,POL,population,2025,36435861.0,world_bank_wdi,SP.POP.TOTL,0
Belgium,BEL,population,2025,11941781.0,world_bank_wdi,SP.POP.TOTL,0
Ireland,IRL,population,2025,5484367.0,world_bank_wdi,SP.POP.TOTL,0
Argentina,ARG,population,2025,45851378.0,world_bank_wdi,SP.POP.TOTL,0
Sweden,SWE,population,2025,10596620.0,world_bank_wdi,SP.POP.TOTL,0
Israel,ISR,population,2025,10122800.0,world_bank_wdi,SP.POP.TOTL,0
Singapore,SGP,population,2025,6111175.0,world_bank_wdi,SP.POP.TOTL,0
Austria,AUT,population,2025,9208163.0,world_bank_wdi,SP.POP.TOTL,0
Thailand,THA,population,2025,71619863.0,world_bank_wdi,SP.POP.TOTL,0
Norway,NOR,population,2025,5610870.0,world_bank_wdi,SP.POP.TOTL,0
Viet Nam,VNM,population,2025,101598527.0,world_bank_wdi,SP.POP.TOTL,0
Philippines,PHL,population,2025,116786962.0,world_bank_wdi,SP.POP.TOTL,0
Malaysia,MYS,population,2025,35977838.0,world_bank_wdi,SP.POP.TOTL,0
Denmark,DNK,population,2025,6009169.0,world_bank_wdi,SP.POP.TOTL,0
Colombia,COL,population,2025,53425635.0,world_bank_wdi,SP.POP.TOTL,0
Bangladesh,BGD,population,2025,175686899.0,world_bank_wdi,SP.POP.TOTL,0
Romania,ROU,population,2025,19020271.0,world_bank_wdi,SP.POP.TOTL,0
"Hong Kong SAR, China",HKG,population,2025,7498900.0,world_bank_wdi,SP.POP.TOTL,0
South Africa,ZAF,population,2025,64747319.0,world_bank_wdi,SP.POP.TOTL,0
Pakistan,PAK,population,2025,255219554.0,world_bank_wdi,SP.POP.TOTL,0
Czechia,CZE,population,2025,10886878.0,world_bank_wdi,SP.POP.TOTL,0
"Egypt, Arab Rep.",EGY,population,2025,118365995.0,world_bank_wdi,SP.POP.TOTL,0
"Iran, Islamic Rep.",IRN,population,2025,92417681.0,world_bank_wdi,SP.POP.TOTL,0
Chile,CHL,population,2025,19859921.0,world_bank_wdi,SP.POP.TOTL,0
Portugal,PRT,population,2025,10804871.0,world_bank_wdi,SP.POP.TOTL,0
Peru,PER,population,2025,34576665.0,world_bank_wdi,SP.POP.TOTL,0
Finland,FIN,population,2025,5646436.0,world_bank_wdi,SP.POP.TOTL,0
Kazakhstan,KAZ,population,2025,20843754.0,world_bank_wdi,SP.POP.TOTL,0
Nigeria,NGA,population,2025,237527782.0,world_bank_wdi,SP.POP.TOTL,0
Algeria,DZA,population,2025,47435312.0,world_bank_wdi,SP.POP.TOTL,0
United States,USA,inflation_cpi_pct,2024,2.94952520485207,world_bank_wdi,FP.CPI.TOTL.ZG,1
China,CHN,inflation_cpi_pct,2025,0.0595646916565403,world_bank_wdi,FP.CPI.TOTL.ZG,0
Germany,DEU,inflation_cpi_pct,2025,2.17178770949721,world_bank_wdi,FP.CPI.TOTL.ZG,0
Japan,JPN,inflation_cpi_pct,2025,3.17253034260248,world_bank_wdi,FP.CPI.TOTL.ZG,0
United Kingdom,GBR,inflation_cpi_pct,2025,3.88306881626,world_bank_wdi,FP.CPI.TOTL.ZG,0
India,IND,inflation_cpi_pct,2025,2.39884954182294,world_bank_wdi,FP.CPI.TOTL.ZG,0
France,FRA,inflation_cpi_pct,2025,0.943770212469976,world_bank_wdi,FP.CPI.TOTL.ZG,0
Russian Federation,RUS,inflation_cpi_pct,2025,8.71986939402666,world_bank_wdi,FP.CPI.TOTL.ZG,0
Italy,ITA,inflation_cpi_pct,2025,1.5316682765282,world_bank_wdi,FP.CPI.TOTL.ZG,0
Canada,CAN,inflation_cpi_pct,2025,2.07232411149103,world_bank_wdi,FP.CPI.TOTL.ZG,0
Brazil,BRA,inflation_cpi_pct,2025,5.01675279604836,world_bank_wdi,FP.CPI.TOTL.ZG,0
Spain,ESP,inflation_cpi_pct,2025,2.699932857627,world_bank_wdi,FP.CPI.TOTL.ZG,0
"Korea, Rep.",KOR,inflation_cpi_pct,2025,2.12309421458659,world_bank_wdi,FP.CPI.TOTL.ZG,0
Mexico,MEX,inflation_cpi_pct,2025,3.80668650726485,world_bank_wdi,FP.CPI.TOTL.ZG,0
