rank,selected,iso3,country,gdp_value,observation_year,source_id,source_indicator_id,territory_classification
148,False,MNE,Montenegro,9232801464.79257,2025,world_bank_wdi,NY.GDP.MKTP.CD,
149,False,BRB,Barbados,8016550000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
150,False,MDV,Maldives,7741066860.6337,2025,world_bank_wdi,NY.GDP.MKTP.CD,
151,False,SLE,Sierra Leone,7464157904.43509,2025,world_bank_wdi,NY.GDP.MKTP.CD,
152,False,FJI,Fiji,6198013062.06553,2025,world_bank_wdi,NY.GDP.MKTP.CD,
153,False,LBR,Liberia,5245938900.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
154,False,SWZ,Eswatini,5160679612.81734,2025,world_bank_wdi,NY.GDP.MKTP.CD,
155,False,DJI,Djibouti,4624533092.31886,2025,world_bank_wdi,NY.GDP.MKTP.CD,
156,False,SUR,Suriname,4523657796.86421,2025,world_bank_wdi,NY.GDP.MKTP.CD,
157,False,AND,Andorra,4500982731.80784,2025,world_bank_wdi,NY.GDP.MKTP.CD,
158,False,BTN,Bhutan,3579320145.13077,2025,world_bank_wdi,NY.GDP.MKTP.CD,
159,False,BDI,Burundi,3364713864.08488,2025,world_bank_wdi,NY.GDP.MKTP.CD,
160,False,BLZ,Belize,3326500000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
161,False,CAF,Central African Republic,3066109226.40165,2025,world_bank_wdi,NY.GDP.MKTP.CD,
162,False,CPV,Cabo Verde,3056630435.32463,2025,world_bank_wdi,NY.GDP.MKTP.CD,
163,False,LCA,St. Lucia,2656444444.44444,2025,world_bank_wdi,NY.GDP.MKTP.CD,
164,False,GMB,"Gambia, The",2593673987.53306,2025,world_bank_wdi,NY.GDP.MKTP.CD,
165,False,LSO,Lesotho,2573572920.05159,2025,world_bank_wdi,NY.GDP.MKTP.CD,
166,False,GNB,Guinea-Bissau,2527930272.92988,2025,world_bank_wdi,NY.GDP.MKTP.CD,
167,False,SYC,Seychelles,2387022853.48583,2025,world_bank_wdi,NY.GDP.MKTP.CD,
168,False,ATG,Antigua and Barbuda,2338196296.2963,2025,world_bank_wdi,NY.GDP.MKTP.CD,
169,False,TLS,Timor-Leste,1902180257.82737,2025,world_bank_wdi,NY.GDP.MKTP.CD,
170,False,SXM,Sint Maarten (Dutch part),1887728480.44693,2025,world_bank_wdi,NY.GDP.MKTP.CD,
171,False,COM,Comoros,1814920856.27026,2025,world_bank_wdi,NY.GDP.MKTP.CD,
172,False,SLB,Solomon Islands,1749572442.95016,2025,world_bank_wdi,NY.GDP.MKTP.CD,
173,False,GRD,Grenada,1420173228.56948,2025,world_bank_wdi,NY.GDP.MKTP.CD,
174,False,VUT,Vanuatu,1353658840.63993,2025,world_bank_wdi,NY.GDP.MKTP.CD,
175,False,WSM,Samoa,1287936621.64619,2025,world_bank_wdi,NY.GDP.MKTP.CD,
176,False,VCT,St. Vincent and the Grenadines,1255222222.22222,2025,world_bank_wdi,NY.GDP.MKTP.CD,
177,False,KNA,St. Kitts and Nevis,1183514814.81481,2025,world_bank_wdi,NY.GDP.MKTP.CD,
178,False,STP,Sao Tome and Principe,981293586.906408,2025,world_bank_wdi,NY.GDP.MKTP.CD,
179,False,DMA,Dominica,723859259.259259,2025,world_bank_wdi,NY.GDP.MKTP.CD,
180,False,TON,Tonga,679218218.578017,2025,world_bank_wdi,NY.GDP.MKTP.CD,
181,False,FSM,"Micronesia, Fed. Sts.",501797600.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
182,False,KIR,Kiribati,349227254.158833,2025,world_bank_wdi,NY.GDP.MKTP.CD,
183,False,PLW,Palau,345000000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
184,False,MHL,Marshall Islands,308000000.0,2025,world_bank_wdi,NY.GDP.MKTP.CD,
185,False,NRU,Naoero,176040043.932346,2025,world_bank_wdi,NY.GDP.MKTP.CD,
186,False,TUV,Tuvalu,57345434.7234984,2025,world_bank_wdi,NY.GDP.MKTP.CD,
