metric_id,iso3,country,missing_year_ranges,missing_year_count
central_government_debt_pct_gdp,KOR,"Korea, Rep.",1998-2011; 2025,15
central_government_debt_pct_gdp,MEX,Mexico,2001-2018; 2025,19
central_government_debt_pct_gdp,AUS,Australia,2023-2025,3
central_government_debt_pct_gdp,TUR,Turkiye,1999-2007; 2025,10
central_government_debt_pct_gdp,IDN,Indonesia,2000-2001; 2004-2007; 2010-2025,22
central_government_debt_pct_gdp,NLD,Netherlands,1995-2025,31
central_government_debt_pct_gdp,SAU,Saudi Arabia,1990-2025,36
central_government_debt_pct_gdp,CHE,Switzerland,2025,1
central_government_debt_pct_gdp,POL,Poland,1990-1993; 1995-2025,35
central_government_debt_pct_gdp,BEL,Belgium,1990-2025,36
central_government_debt_pct_gdp,IRL,Ireland,1990-2025,36
central_government_debt_pct_gdp,ARG,Argentina,1990-2025,36
central_government_debt_pct_gdp,SWE,Sweden,1990-2025,36
central_government_debt_pct_gdp,ISR,Israel,2000-2025,26
central_government_debt_pct_gdp,SGP,Singapore,2025,1
central_government_debt_pct_gdp,AUT,Austria,1990-2025,36
central_government_debt_pct_gdp,THA,Thailand,2017; 2025,2
central_government_debt_pct_gdp,NOR,Norway,1995-2025,31
central_government_debt_pct_gdp,VNM,Viet Nam,1990-2025,36
central_government_debt_pct_gdp,PHL,Philippines,2015-2025,11
central_government_debt_pct_gdp,MYS,Malaysia,1996-2001; 2025,7
central_government_debt_pct_gdp,DNK,Denmark,1990; 1995-2025,32
central_government_debt_pct_gdp,COL,Colombia,1990-1997; 2001-2002; 2004-2007; 2025,15
central_government_debt_pct_gdp,BGD,Bangladesh,1990-2000; 2004-2025,33
central_government_debt_pct_gdp,ROU,Romania,1990-2025,36
central_government_debt_pct_gdp,HKG,"Hong Kong SAR, China",1990-2025,36
central_government_debt_pct_gdp,ZAF,South Africa,2001-2014; 2025,15
central_government_debt_pct_gdp,PAK,Pakistan,1994-1997; 1999; 2001-2025,30
central_government_debt_pct_gdp,CZE,Czechia,1990-1992; 1995-2025,34
central_government_debt_pct_gdp,EGY,"Egypt, Arab Rep.",1990-2006; 2008-2025,35
central_government_debt_pct_gdp,IRN,"Iran, Islamic Rep.",1990-2025,36
central_government_debt_pct_gdp,CHL,Chile,1990-1994; 2001-2025,30
central_government_debt_pct_gdp,PRT,Portugal,1990-1992; 1995-2025,34
central_government_debt_pct_gdp,PER,Peru,1995-2005; 2022-2025,15
central_government_debt_pct_gdp,FIN,Finland,1995-2025,31
central_government_debt_pct_gdp,KAZ,Kazakhstan,1990-2009; 2024-2025,22
central_government_debt_pct_gdp,NGA,Nigeria,1990-2025,36
central_government_debt_pct_gdp,DZA,Algeria,1990-2025,36
